user_id,name,email,age,gender,city,state,registration_date,loyalty_tier,is_prime
USR00001,Irya Vohra,chandani86@example.org,58,Male,Mumbai,Tripura,2025-03-25,Gold,True
USR00002,Anya Setty,sharafurishilla@example.com,32,Male,Delhi,Arunachal Pradesh,2026-01-19,Bronze,False
USR00003,Onkar Wali,dadajason@example.org,20,Male,Delhi,Goa,2024-05-25,Silver,True
USR00004,Charvi Shere,pchaudhari@example.net,50,Other,Mumbai,Uttarakhand,2024-01-25,Silver,False
USR00005,Sanya Oak,sainidalbir@example.net,32,Female,Lucknow,Punjab,2023-11-19,Gold,True
USR00006,Matthew Panchal,ekantikabatta@example.net,28,Other,Pune,Rajasthan,2025-02-13,Gold,False
USR00007,Girindra Sarma,upkaarmangat@example.com,27,Male,Hyderabad,Kerala,2025-10-12,Bronze,True
USR00008,Robert Barman,balendraupadhyay@example.com,42,Male,Hyderabad,Assam,2023-11-12,Gold,False
USR00009,Raagini Padmanabhan,gaurangimadan@example.com,20,Other,Ahmedabad,Tamil Nadu,2024-11-08,Bronze,False
USR00010,Ekaraj Bhat,hamsininagarajan@example.net,23,Other,Kolkata,Haryana,2025-03-14,Gold,True
USR00011,Ridhi Sathe,dalalayushman@example.net,63,Male,Mumbai,Telangana,2023-08-23,Silver,False
USR00012,Aadhya Peri,vnatt@example.com,23,Male,Delhi,Arunachal Pradesh,2024-05-20,Platinum,False
USR00013,Vivaan Saini,labanviswanathan@example.net,47,Other,Hyderabad,West Bengal,2023-05-28,Silver,False
USR00014,Alexander Rout,ishwarcontractor@example.net,40,Male,Kolkata,Rajasthan,2025-08-28,Bronze,True
USR00015,Xavier Kala,sachi61@example.org,52,Other,Chennai,Himachal Pradesh,2023-10-22,Silver,False
USR00016,Rehaan Verma,chaitanyadugal@example.com,42,Female,Jaipur,Madhya Pradesh,2023-07-28,Silver,False
USR00017,Abha Karan,sararout@example.com,21,Male,Mumbai,Uttarakhand,2026-02-20,Gold,False
USR00018,Manan Kumar,qushinayar@example.com,35,Male,Chennai,Punjab,2023-09-27,Gold,True
USR00019,Avni Ranganathan,ynanda@example.com,59,Female,Pune,Kerala,2024-04-19,Platinum,True
USR00020,Orinder Dey,mitalisuri@example.org,34,Male,Chennai,Uttar Pradesh,2025-05-22,Gold,False
USR00021,Upma Ghose,thakerdaksha@example.org,55,Female,Hyderabad,Odisha,2024-01-28,Silver,True
USR00022,Vyanjana Wason,falgunichatterjee@example.com,50,Female,Delhi,Tripura,2023-09-18,Bronze,True
USR00023,Urishilla Prabhakar,deeprobert@example.net,27,Other,Bangalore,Chhattisgarh,2026-01-15,Platinum,True
USR00024,Chandani Devi,bimalawalia@example.com,42,Female,Lucknow,Andhra Pradesh,2024-07-13,Platinum,False
USR00025,Yashasvi Chana,warinder54@example.net,53,Male,Delhi,Gujarat,2023-07-03,Gold,False
USR00026,Gaurang Bhandari,davebakhshi@example.com,25,Female,Pune,Karnataka,2025-09-29,Silver,False
USR00027,Daniel Zacharia,kavya10@example.net,18,Other,Kolkata,Haryana,2025-01-10,Silver,True
USR00028,Sachi Palla,aashi73@example.org,58,Female,Jaipur,Andhra Pradesh,2026-02-25,Silver,True
USR00029,Chakradev Raghavan,manijonathan@example.com,41,Male,Jaipur,Nagaland,2026-03-28,Bronze,False
USR00030,Harsh Bhakta,udant07@example.com,49,Male,Delhi,Punjab,2025-07-24,Gold,False
USR00031,Wakeeta Bhardwaj,faras25@example.net,33,Male,Chennai,Punjab,2023-11-01,Bronze,True
USR00032,Darpan Vaidya,omajaborde@example.org,64,Female,Delhi,Sikkim,2024-08-18,Silver,True
USR00033,Ranbir Sood,zilmil43@example.net,60,Female,Jaipur,Jharkhand,2025-06-20,Silver,False
USR00034,Yahvi Uppal,fitan45@example.com,51,Other,Pune,Assam,2025-11-24,Silver,True
USR00035,Anvi Kalla,cvohra@example.com,63,Female,Pune,West Bengal,2025-08-30,Gold,False
USR00036,Azaan Toor,wratta@example.org,51,Female,Delhi,Meghalaya,2024-04-28,Silver,True
USR00037,Anika Kulkarni,deepapurohit@example.com,22,Female,Mumbai,Sikkim,2026-03-15,Silver,True
USR00038,Sathvik Murthy,katakamya@example.com,18,Male,Mumbai,Tamil Nadu,2023-08-16,Silver,True
USR00039,Bhanumati Badal,mandalyamini@example.com,20,Female,Delhi,Meghalaya,2024-11-01,Silver,False
USR00040,Azad Sahota,qyadav@example.net,60,Female,Chennai,Chhattisgarh,2025-11-02,Silver,False
USR00041,Ayushman Devan,tmishra@example.com,33,Female,Pune,Goa,2023-11-13,Silver,True
USR00042,Tanvi Rau,gsharma@example.com,24,Other,Pune,Uttar Pradesh,2024-05-31,Gold,False
USR00043,Wyatt Ganguly,lgrover@example.net,44,Female,Mumbai,Punjab,2025-10-22,Bronze,True
USR00044,Azaan Arora,karanseshadri@example.net,43,Other,Hyderabad,Goa,2025-07-24,Bronze,True
USR00045,Vansha Sani,subramanianeta@example.com,30,Male,Jaipur,Chhattisgarh,2023-05-13,Platinum,True
USR00046,Mohini Bhatnagar,sethanamika@example.net,45,Male,Kolkata,Madhya Pradesh,2025-04-04,Platinum,True
USR00047,Lohit Bhargava,kbala@example.org,22,Female,Jaipur,Chhattisgarh,2024-06-02,Bronze,True
USR00048,Divya Puri,schatterjee@example.com,59,Other,Mumbai,Assam,2025-10-21,Bronze,True
USR00049,Nathaniel Merchant,ramakrishnanzashil@example.org,28,Female,Ahmedabad,Rajasthan,2026-01-14,Platinum,True
USR00050,Balhaar Bhatti,hcherian@example.com,43,Male,Bangalore,Bihar,2023-07-26,Platinum,True
USR00051,Hardik Din,kundaekapad@example.org,42,Female,Ahmedabad,Odisha,2025-01-30,Gold,False
USR00052,Onveer Tandon,uchoudhary@example.net,62,Other,Jaipur,Haryana,2023-12-12,Platinum,True
USR00053,Hema Ganesh,maanavmukhopadhyay@example.com,30,Female,Chennai,Chhattisgarh,2026-02-14,Bronze,True
USR00054,Pranav Kamdar,nachiket81@example.com,65,Female,Mumbai,Odisha,2024-12-31,Bronze,False
USR00055,Yuvraj Ranganathan,dray@example.com,50,Other,Bangalore,Assam,2026-02-16,Bronze,True
USR00056,Omkaar Johal,indrajitjani@example.net,29,Male,Lucknow,Andhra Pradesh,2024-07-28,Bronze,True
USR00057,Atharv Dewan,ladli01@example.net,43,Male,Lucknow,Telangana,2023-09-13,Silver,True
USR00058,Ronith Behl,vnagarajan@example.com,57,Male,Pune,Sikkim,2023-08-04,Gold,False
USR00059,Libni Balay,gbarad@example.org,31,Other,Hyderabad,Meghalaya,2026-03-07,Silver,False
USR00060,Gavin Bains,ria17@example.com,43,Male,Kolkata,Nagaland,2023-05-16,Platinum,False
USR00061,Dev Gour,orinderkrishnan@example.org,22,Male,Ahmedabad,Punjab,2024-11-12,Bronze,True
USR00062,Aishani Lala,mchaudhari@example.com,52,Male,Jaipur,Bihar,2023-07-10,Gold,True
USR00063,Indira Nair,barmanadvika@example.com,40,Male,Chennai,Haryana,2025-03-12,Gold,False
USR00064,Girindra Mitra,anmol20@example.org,28,Female,Jaipur,Haryana,2024-04-29,Gold,True
USR00065,Qarin Mani,lakshmisubramaniam@example.net,60,Other,Kolkata,Punjab,2026-02-03,Bronze,True
USR00066,Reva Kannan,raghavdass@example.net,34,Male,Delhi,Rajasthan,2024-06-25,Silver,False
USR00067,Chandani Nori,gardechakradhar@example.org,36,Other,Chennai,Karnataka,2024-06-25,Gold,True
USR00068,Yatin Dhillon,ybadal@example.com,61,Other,Kolkata,Gujarat,2025-10-24,Platinum,False
USR00069,Jack Prabhakar,kjohal@example.com,21,Male,Pune,Rajasthan,2025-05-03,Gold,True
USR00070,Janani Gill,zarna45@example.com,18,Female,Bangalore,Karnataka,2024-11-06,Gold,True
USR00071,Girik Maharaj,vkulkarni@example.org,65,Female,Jaipur,Himachal Pradesh,2023-04-11,Platinum,True
USR00072,Panini Ghose,azaan74@example.com,25,Male,Bangalore,West Bengal,2026-03-08,Bronze,False
USR00073,Shravya Kala,battainaya@example.org,55,Other,Bangalore,Madhya Pradesh,2025-03-29,Platinum,True
USR00074,Ira Kala,vanyakade@example.com,20,Female,Hyderabad,Himachal Pradesh,2023-07-18,Bronze,False
USR00075,Varenya Wali,yashsani@example.org,31,Other,Chennai,Meghalaya,2024-09-10,Bronze,False
USR00076,Vyanjana Sidhu,dhawansamaksh@example.org,53,Female,Lucknow,Odisha,2024-11-14,Silver,True
USR00077,Yochana Nagarajan,borawatika@example.com,28,Male,Pune,Punjab,2023-05-18,Bronze,True
USR00078,Eshana Narasimhan,vinayanagar@example.org,65,Female,Pune,Madhya Pradesh,2025-03-31,Silver,False
USR00079,Nisha Palla,voza@example.org,28,Other,Delhi,Goa,2024-05-06,Platinum,True
USR00080,Aahana Balakrishnan,dyalqadim@example.org,48,Male,Chennai,Bihar,2025-04-15,Platinum,False
USR00081,Jyoti Doctor,urvi90@example.net,37,Male,Chennai,Andhra Pradesh,2025-12-16,Bronze,True
USR00082,Upkaar Butala,masterbahadurjit@example.net,43,Female,Kolkata,Sikkim,2026-01-22,Bronze,False
USR00083,Christopher Jain,ukale@example.net,40,Other,Jaipur,West Bengal,2023-04-19,Platinum,False
USR00084,Ekta Kapadia,vohravivaan@example.org,19,Male,Kolkata,Haryana,2023-06-18,Silver,False
USR00085,Yash Garg,wasonom@example.com,20,Male,Lucknow,Andhra Pradesh,2025-09-25,Platinum,False
USR00086,Yagnesh Kohli,jack13@example.com,64,Female,Pune,Mizoram,2024-06-01,Bronze,False
USR00087,Naveen Ramachandran,aradhana99@example.com,54,Male,Kolkata,Gujarat,2024-01-17,Bronze,False
USR00088,Ekaraj Ben,zsane@example.com,18,Other,Jaipur,Kerala,2025-01-25,Silver,False
USR00089,Nidra Kaul,zilmilsheth@example.com,45,Male,Hyderabad,Telangana,2024-10-29,Gold,True
USR00090,Daniel Goswami,alkamenon@example.net,64,Female,Jaipur,Nagaland,2024-05-04,Gold,False
USR00091,Charan Dass,kdivan@example.org,38,Female,Kolkata,Goa,2024-06-23,Silver,True
USR00092,Raghav Badami,girish93@example.org,44,Other,Pune,Himachal Pradesh,2023-09-13,Silver,False
USR00093,Charan Kaur,vanyaamble@example.org,43,Other,Mumbai,Jharkhand,2025-10-31,Gold,False
USR00094,Yug Deol,bparsa@example.net,31,Female,Lucknow,Madhya Pradesh,2023-08-19,Gold,False
USR00095,Qabil Kalla,obhattacharyya@example.com,46,Female,Chennai,Himachal Pradesh,2023-12-30,Platinum,True
USR00096,Dhruv Hegde,kamalavarughese@example.org,60,Male,Kolkata,Meghalaya,2024-05-05,Gold,True
USR00097,Udyati Savant,ipillay@example.com,33,Other,Kolkata,Uttarakhand,2025-06-17,Silver,True
USR00098,Omisha Lata,krishna09@example.com,27,Male,Mumbai,Rajasthan,2023-04-21,Silver,False
USR00099,Harinakshi Sarraf,upasna33@example.com,57,Male,Ahmedabad,Punjab,2023-09-12,Platinum,True
USR00100,Jasmit Nagar,nazarethvedhika@example.com,63,Other,Pune,Rajasthan,2025-04-07,Platinum,False
USR00101,Vyanjana Bandi,pvala@example.net,33,Male,Mumbai,Manipur,2025-10-06,Bronze,False
USR00102,Anirudh Wali,pmorar@example.net,32,Male,Jaipur,Jharkhand,2025-11-24,Platinum,True
USR00103,Madhavi Barad,amarahanda@example.com,53,Male,Delhi,Haryana,2024-06-23,Platinum,True
USR00104,Yasti Oommen,opatla@example.com,47,Other,Jaipur,Andhra Pradesh,2024-10-15,Gold,False
USR00105,Jonathan Merchant,narasimhanvaishnavi@example.net,57,Other,Jaipur,Kerala,2023-10-16,Platinum,False
USR00106,Samuel Pradhan,achaudry@example.org,28,Other,Ahmedabad,Arunachal Pradesh,2024-12-21,Platinum,False
USR00107,Adya Jaggi,bhatiaaarna@example.com,33,Other,Kolkata,Meghalaya,2023-04-07,Platinum,True
USR00108,Ladli Om,ijayadube@example.org,35,Female,Delhi,Goa,2025-05-09,Gold,True
USR00109,Sachi Kumar,anthony96@example.net,35,Female,Hyderabad,Odisha,2024-11-05,Bronze,True
USR00110,Pavani Uppal,fmitra@example.net,27,Male,Pune,Odisha,2025-02-16,Silver,True
USR00111,Anika Barman,dakshesh66@example.net,22,Female,Pune,Sikkim,2025-09-16,Gold,False
USR00112,Oeshi Dube,karanzilmil@example.org,44,Male,Chennai,Haryana,2025-10-13,Platinum,False
USR00113,Rachit Wadhwa,mohanzayan@example.org,55,Other,Mumbai,Rajasthan,2024-04-17,Platinum,False
USR00114,Yashoda Gupta,routlajita@example.com,18,Female,Kolkata,Sikkim,2023-12-15,Platinum,False
USR00115,Shravya Arya,sarkarsneha@example.net,52,Other,Jaipur,Rajasthan,2023-11-29,Silver,False
USR00116,Frado Pandya,nilimakannan@example.net,32,Female,Pune,Kerala,2024-06-23,Platinum,True
USR00117,Suhani Contractor,fvaidya@example.net,42,Female,Pune,Mizoram,2025-10-25,Silver,False
USR00118,Jyoti Bava,fsankar@example.org,26,Other,Jaipur,Uttar Pradesh,2026-01-16,Bronze,False
USR00119,Dayamai Gulati,anandabha@example.net,55,Other,Mumbai,Odisha,2025-02-28,Bronze,False
USR00120,Zinal Dhaliwal,kamdaroviya@example.net,26,Female,Bangalore,Uttar Pradesh,2024-01-13,Bronze,False
USR00121,Udant Gole,haridevika@example.org,42,Female,Chennai,Maharashtra,2023-08-19,Platinum,False
USR00122,Darsh Nayar,jalsabalan@example.org,39,Female,Kolkata,Madhya Pradesh,2025-08-03,Platinum,False
USR00123,Reva Rajagopal,ranbirsachar@example.org,23,Female,Mumbai,Meghalaya,2023-12-17,Bronze,False
USR00124,Ekapad Viswanathan,kedwin@example.com,32,Other,Delhi,Telangana,2026-02-05,Bronze,True
USR00125,Vedika Comar,lohitvirk@example.com,33,Male,Mumbai,Uttar Pradesh,2025-01-14,Silver,True
USR00126,Lila Narayanan,vrinda64@example.com,26,Female,Delhi,Assam,2023-06-23,Silver,False
USR00127,Vasana Iyengar,bhavna11@example.org,62,Female,Hyderabad,Haryana,2025-09-02,Silver,True
USR00128,Wahab Bath,bpillay@example.net,28,Female,Delhi,Arunachal Pradesh,2023-08-13,Bronze,False
USR00129,Urmi Mittal,narasimhanrobert@example.org,54,Other,Pune,Andhra Pradesh,2025-08-13,Platinum,True
